WIGTOWN,_181,,54.886169,-4.090330,265930,556610,127.50,,2.70,-99,1486.52,29.02,0.00,Q,0.16,W,14.75,274 NEWC,,,0.00
WIGTOWN,_456,,54.990829,-4.594000,234060,569330,72.80,,2.70,-99,1508.50,25.20,0.00,Q,0.04,W,17.00,274 NEWC,,,0.00
WIGTOWN,_221,,54.898170,-4.320000,251250,558410,172.20,,2.70,-99,1470.66,25.93,0.00,Q,0.35,W,6.79,274 NEWC,,,0.00
WIGTOWN,_425,,54.821499,-4.593500,233400,550500,70.70,,2.70,-99,1498.49,28.98,0.00,Q,0.05,W,21.03,274 NEWC,,,0.00
WIGTOWN,_496,,54.869171,-4.355170,248880,555260,64.50,,2.70,-99,1493.64,18.15,0.00,Q,0.74,W,11.59,274 NEWC,,,0.00
WIGTOWN,_414,,54.885330,-4.549500,236480,557490,19.20,,2.70,-99,1508.07,17.22,0.00,Q,0.05,W,15.10,274 NEWC,,,0.00
WIGTOWN,_530,,54.980839,-4.299500,252860,567560,283.40,,2.70,-99,1433.86,16.40,0.00,Q,1.63,W,-14.05,265 NEWC,,,0.00
WIGTOWN,_650,,54.888500,-4.765500,222650,558370,79.80,,2.70,-99,1505.95,33.53,0.00,Q,0.04,W,24.54,274 NEWC,,,0.00
WIGTOWN,_410,,54.935169,-4.645830,230510,563270,114.60,,2.70,-99,1497.68,32.02,0.00,Q,0.19,W,19.24,274 NEWC,,,0.00
WIGTOWN,_314,,54.953999,-4.156000,261950,564290,169.90,,2.70,-99,1469.81,19.61,0.00,Q,0.54,W,0.92,274 NEWC,,,0.00
WIGTOWN,_489,,54.916828,-4.316500,251540,560480,139.20,,2.70,-99,1475.13,18.63,0.00,Q,0.36,W,3.23,274 NEWC,,,0.00
WIGTOWN,_493,,54.927170,-4.350000,249430,561700,127.90,,2.70,-99,1474.49,13.62,0.00,Q,0.36,W,-0.50,274 NEWC,,,0.00
WIGTOWN,_149,,54.976330,-4.102830,265430,566660,177.80,,2.70,-99,1470.40,20.74,0.00,Q,0.54,W,1.15,274 NEWC,,,0.00
WIGTOWN,_319,,54.927830,-4.201830,258920,561470,26.70,,2.70,-99,1497.36,5.20,0.00,Q,1.04,W,3.22,274 NEWC,,,0.00
